"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"AE1","1","Antenna","","","","Connector_Wire:SolderWirePad_1x01_Drill1mm","~"
"BT1","1","Battery","","","","Connector_Wire:SolderWirePad_1x02_P3.81mm_Drill1mm","~"
"C1,C2","2","0.1uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
"C3,C4","2","1uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
"J1","1","Conn_01x03_Male","","","","Connector_Wire:SolderWirePad_1x03_P3.175mm_Drill1mm","~"
"J2","1","Conn_01x08_Female","","","","kicad-custom:SolderWirePadOval_1x08_Drill1mm","~"
"J3,J4","2","Conn_01x08_Female","","","","kicad-custom:SolderWirePad_1x08_Drill1mm","~"
"R1,R2","2","R","","","","","~"
"U1","1","ATtiny1614-SS","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATtiny1614-data-sheet-40001995A.pdf"
"U2","1","RFM69HW","","","","RF_Module:HOPERF_RFM69HW","https://www.hoperf.com/data/upload/portal/20181127/5bfcbb56f1fd7.pdf"
"U3","1","MCP1703A-3302_SOT23","","","","Package_TO_SOT_SMD:SOT-23","http://ww1.microchip.com/downloads/en/DeviceDoc/20005122B.pdf"
